zone_code,tree_cover_ratio,grassland_ratio,builtup_landcover_ratio,bare_sparse_ratio,water_ratio,dominant_landcover_class,landcover_source,landcover_warning
NSR-GRID-056,0.0,0.0,0.8405380470147622,0.15668870162896742,0.0,50,esa_worldcover_v200,
NSR-GRID-057,0.005831078178499492,0.002773251356264912,0.9373172690180646,0.05407840144716579,0.0,50,esa_worldcover_v200,
NSR-GRID-058,0.004159877034397369,0.0,0.9676816524952923,0.025385219114045822,0.0,50,esa_worldcover_v200,
NSR-GRID-059,0.0,0.0,0.9175365552592947,0.08246344474070083,0.0,50,esa_worldcover_v200,
NSR-GRID-060,0.0,0.0,0.8655843131852656,0.1344156868147301,0.0,50,esa_worldcover_v200,
NSR-GRID-061,0.0,0.019838716401515993,0.45086723013817204,0.5153607311233094,0.0,60,esa_worldcover_v200,
NSR-GRID-062,0.0004622085593774854,0.11301452422425966,0.558130429817705,0.30032680864021793,0.0,50,esa_worldcover_v200,
NSR-GRID-063,0.0,0.0712888730992804,0.7068093290000487,0.21700238717126488,0.0,50,esa_worldcover_v200,
NSR-GRID-064,0.0,0.015252882459457018,0.5170772468320557,0.4676698707084828,0.0,50,esa_worldcover_v200,
NSR-GRID-065,0.0004622085593774854,0.0,0.8273986358503416,0.17213915559027598,0.0,49,esa_worldcover_v200,
NSR-GRID-066,0.0,0.0018488342375099416,0.30490539225193375,0.6932457735105512,0.0,60,esa_worldcover_v200,
NSR-GRID-067,0.0,0.003697668475019883,0.3866456165409026,0.6096567149840734,0.0,60,esa_worldcover_v200,
NSR-GRID-068,0.0,0.0,0.9217308713628223,0.0782691286371734,0.0,50,esa_worldcover_v200,
NSR-GRID-069,0.0,0.04344579199889783,0.619915932419667,0.3366382755814303,0.0,50,esa_worldcover_v200,
NSR-GRID-070,0.0,0.0015751342670550384,0.4589314100623699,0.5394934556705724,0.0,60,esa_worldcover_v200,
NSR-GRID-071,0.0,0.06596169287963168,0.3204954150723485,0.6116940578105068,0.0,60,esa_worldcover_v200,
NSR-GRID-072,0.0,0.0205383732796325,0.09783595765082019,0.8816256690695423,0.0,60,esa_worldcover_v200,
NSR-GRID-073,0.0,0.0,0.08557746162309501,0.9144225383769004,0.0,60,esa_worldcover_v200,
NSR-GRID-074,0.0,0.0,0.0490086079546998,0.950991392045296,0.0,60,esa_worldcover_v200,
NSR-GRID-075,0.0,0.0,0.0849593709613392,0.9150406290386558,0.0,60,esa_worldcover_v200,
NSR-GRID-076,0.0,0.0,0.0327116779258254,0.9672883220741743,0.0,59,esa_worldcover_v200,
NSR-GRID-077,0.0,0.0,0.0,1.0,0.0,60,esa_worldcover_v200,
NSR-GRID-078,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-079,0.0,0.008825084043385424,0.2684229443727934,0.7227519715838217,0.0,60,esa_worldcover_v200,
NSR-GRID-080,0.04164732068903563,0.0,0.9583526793109644,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-081,5.816595473961643e-05,0.0029101154230664348,0.1618994819594655,0.8351322366627275,0.0,60,esa_worldcover_v200,
NSR-GRID-082,0.005731905613895808,0.0,0.967334301340164,0.02693379304594052,0.0,50,esa_worldcover_v200,
NSR-GRID-083,0.0,0.0027735027164011955,0.9630199637813174,0.033282032596814344,0.0,50,esa_worldcover_v200,
NSR-GRID-084,0.0,0.0,0.9551617060848473,0.0448382939151527,0.0,50,esa_worldcover_v200,
NSR-GRID-085,0.0,0.0,0.9972264972835988,0.0027735027164011977,0.0,50,esa_worldcover_v200,
NSR-GRID-086,0.0,0.0,0.9428350273452917,0.057164972654713576,0.0,50,esa_worldcover_v200,
NSR-GRID-087,0.0,0.0,0.9000578266252686,0.09994217337473675,0.0,50,esa_worldcover_v200,
NSR-GRID-088,0.0023112522636676647,0.0,0.7518168255539345,0.24587192218240297,0.0,50,esa_worldcover_v200,
NSR-GRID-089,0.0,0.04465158098718583,0.8714128005307771,0.06992127240328562,0.0,50,esa_worldcover_v200,
NSR-GRID-090,0.000462250452733533,0.11848657389028201,0.696542547888245,0.16406990677042868,0.0,49,esa_worldcover_v200,
NSR-GRID-091,0.0,0.008509033824043936,0.4685243696625949,0.5229665965133656,0.0,59,esa_worldcover_v200,
NSR-GRID-092,0.0,0.0,0.8902762444960518,0.10972375550395297,0.0,50,esa_worldcover_v200,
NSR-GRID-093,0.0,0.000924500905467066,0.5668078796481129,0.43226761944642444,0.0,49,esa_worldcover_v200,
NSR-GRID-094,0.0,0.000924500905467066,0.7272903603559553,0.2717851387385828,0.0,50,esa_worldcover_v200,
NSR-GRID-095,0.0,0.0,0.5347313237221532,0.46526867627785184,0.0,50,esa_worldcover_v200,
NSR-GRID-096,0.0,0.012943012676538924,0.8368981000600065,0.15015888726345963,0.0,50,esa_worldcover_v200,
NSR-GRID-097,0.0,0.01710326675114072,0.8288241254855943,0.15407260776327017,0.0,50,esa_worldcover_v200,
NSR-GRID-098,0.0,0.032526117150579556,0.8654434250764567,0.10203045777296822,0.0,50,esa_worldcover_v200,
NSR-GRID-099,0.0,0.23212586264091906,0.489791515982086,0.2753091186605983,0.0,49,esa_worldcover_v200,
NSR-GRID-100,0.0,0.009245009054670659,0.2744190599457271,0.7163359309996066,0.0,59,esa_worldcover_v200,
NSR-GRID-101,0.0,0.0,0.2500629929538536,0.749937007046151,0.0,59,esa_worldcover_v200,
NSR-GRID-102,0.0,0.0,0.00407505497154895,0.995924945028451,0.0,60,esa_worldcover_v200,
NSR-GRID-103,0.0,0.0,0.055131070662686035,0.9448689293373191,0.0,59,esa_worldcover_v200,
NSR-GRID-104,0.04680768325504766,0.008969596496075486,0.3973229361741322,0.5390712144004747,0.0,60,esa_worldcover_v200,
NSR-GRID-105,0.016809413271431994,0.0,0.9831905867285679,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-106,0.0009542484638470788,0.0011320006286813387,0.07706772544587713,0.9184604043019741,0.0,60,esa_worldcover_v200,
NSR-GRID-107,0.007671966781996873,0.0,0.992328033218003,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-108,0.03478393254903942,0.0,0.9624430674092749,0.002773000041685615,0.0,50,esa_worldcover_v200,
NSR-GRID-109,0.0046216667361426945,0.0,0.9939918332430145,0.0013865000208428083,0.0,50,esa_worldcover_v200,
NSR-GRID-110,0.011554166840356735,0.0,0.9884458331596433,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-111,0.029116500437698974,0.0,0.970883499562301,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-112,0.00785683345144258,0.0,0.9820189977689128,0.010124168779644347,0.0,50,esa_worldcover_v200,
NSR-GRID-113,0.035124667194684475,0.0,0.9500859992496589,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-114,0.02321164152540372,0.0,0.9767883584745962,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-115,0.0,0.0,0.9907566665277148,0.009243333472285389,0.0,50,esa_worldcover_v200,
NSR-GRID-116,0.0,0.0,0.7481282249718613,0.2518717750281367,0.0,50,esa_worldcover_v200,
NSR-GRID-117,0.0,0.006470333430599772,0.39110175097734584,0.6024279155920544,0.0,60,esa_worldcover_v200,
NSR-GRID-118,0.0,0.01359132504091532,0.39434960462094104,0.5920590703381434,0.0,60,esa_worldcover_v200,
NSR-GRID-119,0.0,0.0006506581797157754,0.9915776920302526,0.007771649790031323,0.0,50,esa_worldcover_v200,
NSR-GRID-120,0.0,0.0,0.9967648332847001,0.003235166715299886,0.0,50,esa_worldcover_v200,
NSR-GRID-121,0.0,0.0,0.9392694866687569,0.0607305133312429,0.0,50,esa_worldcover_v200,
NSR-GRID-122,0.0,0.006470333430599772,0.95193104110746,0.04159862546194004,0.0,49,esa_worldcover_v200,
NSR-GRID-123,0.0,0.004375177843548417,0.9404276219802846,0.055197200176166965,0.0,49,esa_worldcover_v200,
NSR-GRID-124,0.0,0.09980081522576371,0.7076551112915477,0.1906954067882313,0.0,49,esa_worldcover_v200,
NSR-GRID-125,0.0,0.015260562320910382,0.3454233718593044,0.639316065819783,0.0,60,esa_worldcover_v200,
NSR-GRID-126,0.0,0.0,0.1534828336798075,0.8465171663201914,0.0,60,esa_worldcover_v200,
NSR-GRID-127,0.0,0.0027730000416856166,0.003773454958685917,0.9934535449996286,0.0,60,esa_worldcover_v200,
NSR-GRID-128,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-129,0.005312250988234934,0.007468399918753819,0.5001692628991354,0.4777536469644653,0.0,50,esa_worldcover_v200,
NSR-GRID-130,0.019263515086180554,0.0,0.9411722670717415,0.02602769372746473,0.0,50,esa_worldcover_v200,
NSR-GRID-131,0.0,0.0,0.0343674170170985,0.9656325829829022,0.0,60,esa_worldcover_v200,
NSR-GRID-132,0.04517098385494841,0.0004621675112551396,0.9497451735212502,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-133,0.012940690315143917,0.0,0.9870593096848561,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-134,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-135,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-136,0.21490789273364005,0.00046216751125513993,0.667087148480832,0.018468576234077945,0.0,49,esa_worldcover_v200,
NSR-GRID-137,0.0009243350225102799,0.0009243350225102799,0.9969351950528138,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-138,0.0031318645468583596,0.0,0.9968681354531416,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-139,0.0018486700450205597,0.0,0.9327446587935122,0.06540667116147253,0.0,50,esa_worldcover_v200,
NSR-GRID-140,0.0,0.0,0.14411107969580372,0.8558889203042004,0.0,59,esa_worldcover_v200,
NSR-GRID-141,0.0,0.0,0.0,1.0,0.0,60,esa_worldcover_v200,
NSR-GRID-142,0.0018486700450205597,0.0005473513270551069,0.5104957335595266,0.4871082450684026,0.0,49,esa_worldcover_v200,
