zone_code,population_sum,population_mean,population_source,population_warning,population_density_proxy
NSR-GRID-103,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-104,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-105,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-106,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-107,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-108,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-109,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-110,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-111,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-112,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-113,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-114,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-115,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-116,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-117,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-118,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-119,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-120,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-121,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-122,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-123,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-124,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-125,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-126,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-127,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-128,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-129,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-130,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-131,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-132,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-133,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-134,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-135,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-136,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-137,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-138,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-139,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-140,0.0,0.0,worldpop_100m,,0.0
