zone_code,built_surface_mean,built_surface_sum,built_surface_max,built_surface_nres_mean,built_surface_nres_sum,builtup_source,builtup_warning
NSR-GRID-051,181.66855295068711,881.2705882352941,991.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-052,3771.184901531728,27034.219607843133,5544.0,0.9950765864332602,7.133333333333333,ghsl_p2023a_2020,
NSR-GRID-053,37.33841528881254,681.9019607843137,991.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-054,4043.4755244755247,74828.08235294117,5870.0,54.901462174189454,1016.0,ghsl_p2023a_2020,
NSR-GRID-055,3357.04810341174,62125.137254901965,5110.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-056,2892.4255138800595,53526.8862745098,4967.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-057,3468.396906124178,64185.7450980392,5473.0,3.0801017164653524,57.0,ghsl_p2023a_2020,
NSR-GRID-058,3672.891101694916,67984.49411764707,5728.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-059,3353.898728813559,62080.00784313725,5728.0,159.95741525423725,2960.7803921568625,ghsl_p2023a_2020,
NSR-GRID-060,4080.953813559322,75537.65490196079,9537.0,1608.3146186440677,29769.58823529412,ghsl_p2023a_2020,
NSR-GRID-061,1067.032422123331,19746.37647058823,3211.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-062,2090.2027972027972,38681.047058823526,5270.0,13.988768806950626,258.87450980392157,ghsl_p2023a_2020,
NSR-GRID-063,1729.9730875185421,32014.678431372547,3969.0,0.45730027548209373,8.462745098039216,ghsl_p2023a_2020,
NSR-GRID-064,2138.1048728813557,39575.901960784315,6201.0,8.460381355932203,156.6,ghsl_p2023a_2020,
NSR-GRID-065,3902.349936413734,72201.12549019608,6201.0,36.99067401441288,684.4,ghsl_p2023a_2020,
NSR-GRID-066,835.2557203389829,15460.419607843136,4694.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-067,1198.8323797414703,22185.450980392154,5238.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-068,3930.615091140314,72724.0862745098,5290.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-069,2436.12653666808,45073.117647058825,5052.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-070,2078.7591689633246,38452.96862745098,5334.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-071,1380.7626112759644,25546.81568627451,5334.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-072,295.8667090485272,5475.274509803921,2201.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-073,266.23140495867773,4926.8470588235305,3123.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-074,86.8968220338983,1608.443137254902,2890.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-075,369.5777542372882,6840.811764705883,2890.0,0.5942796610169492,11.0,ghsl_p2023a_2020,
NSR-GRID-076,5.7850328598685605,107.01176470588237,147.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-077,5.632627118644068,104.25882352941176,123.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-078,2758.0,194.68235294117648,2758.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-079,95.95986294664709,768.807843137255,541.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-080,3586.229744426318,51726.09019607842,5254.0,78.15198477433388,1127.2274509803922,ghsl_p2023a_2020,
NSR-GRID-081,7.528325907065562,139.14117647058822,294.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-082,3794.1447954208174,70184.23921568626,5763.0,12.455374178503286,230.4,ghsl_p2023a_2020,
NSR-GRID-083,3622.0131439474235,67000.14117647058,5093.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-084,3614.186519711742,66869.53725490195,5147.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-085,3692.531779661016,68348.03921568627,5147.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-086,3574.9794404408644,66144.12941176472,4864.0,37.7929207291225,699.243137254902,ghsl_p2023a_2020,
NSR-GRID-087,3703.492372881355,68550.91764705881,5089.0,45.959745762711854,850.7058823529411,ghsl_p2023a_2020,
NSR-GRID-088,2694.1991947446486,49858.53333333333,5328.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-089,3143.5584745762703,58186.650980392165,5590.0,168.0190677966101,3110.0,ghsl_p2023a_2020,
NSR-GRID-090,2340.609156422213,43305.858823529416,3970.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-091,1904.8467895740619,35250.87058823529,5615.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-092,4137.173553719009,76562.04705882353,5615.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-093,2325.030514939606,43026.74117647059,4782.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-094,3156.540907164052,58402.19607843136,5422.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-095,2299.0563559322036,42555.08235294118,4695.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-096,3301.563771186441,61111.2980392157,5537.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-097,2947.633029467881,54525.431372549014,5439.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-098,3322.0112311930498,61476.74901960786,6496.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-099,2835.537515896566,52463.003921568634,5438.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-100,758.1606953572185,14024.486274509803,3652.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-101,385.41483050847455,7133.952941176471,1196.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-102,18.059758423394783,334.21176470588233,222.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-103,132.43789741415853,2450.3607843137256,1357.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-104,266.68013856812934,1811.3333333333333,1799.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-105,3617.1870310825293,26469.298039215686,4501.0,0.10771704180064308,0.788235294117647,ghsl_p2023a_2020,
NSR-GRID-106,91.41150159744411,1683.0470588235294,1799.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-107,3836.614924757782,72985.9568627451,5821.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-108,3850.464329896907,73234.32156862743,5821.0,19.874226804123715,378.0,ghsl_p2023a_2020,
NSR-GRID-109,4594.39381443299,87383.56862745098,6734.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-110,4067.287422680414,77358.21176470589,6061.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-111,4045.7400535971997,76964.25490196081,6061.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-112,4113.963718820861,78262.10980392156,5350.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-113,4232.122499484431,80476.71372549022,5982.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-114,4321.896701030927,82200.78039215684,5961.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-115,3917.2079983508556,74519.12156862745,5466.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-116,2755.062049062049,52411.00392156863,5908.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-117,1389.5499896928468,26434.145098039215,5908.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-118,1345.2657184085758,25591.701960784318,4646.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-119,4527.309484536082,86107.65098039214,5422.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-120,4640.928865979382,88268.64705882352,5379.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-121,4124.776082474227,78451.62352941177,5567.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-122,3938.955463917525,74917.3882352941,6572.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-123,4137.688865979382,78697.21960784314,6108.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-124,3674.5207173778613,69902.35294117648,7253.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-125,1107.9938157081017,21077.95294117647,5766.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-126,450.65340206185584,8571.25098039216,2655.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-127,22.064742268041236,419.6627450980392,344.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-128,2474.408,1212.9450980392157,4118.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-129,425.4084507042254,2724.2823529411767,1114.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-130,3558.004294917681,58476.84705882353,4947.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-131,12.384566461734149,229.09019607843138,344.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-132,4274.974994702267,79112.18431372549,5767.0,42.30959949141767,782.9764705882353,ghsl_p2023a_2020,
NSR-GRID-133,4458.2113958907,82538.10196078432,7180.0,383.17644566829046,7094.023529411764,ghsl_p2023a_2020,
NSR-GRID-134,3961.371477007839,73308.67450980391,6061.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-135,4130.348590803135,76435.74509803922,6061.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-136,2346.619966087325,43417.0705882353,4575.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-137,4225.372561492791,78144.53725490197,5982.0,0.0,0.0,ghsl_p2023a_2020,
