zone_code,zone_risk_score,zone_risk_class,origin_lon,origin_lat,best_facility_id,best_facility_name,best_facility_type,facility_lon,facility_lat,normal_distance_m,safe_distance_m,normal_weather_eta_sec,safe_weather_eta_sec,risk_reduction_percent,eta_tradeoff_percent,safe_route_available,safe_route_quality,route_found,warning
NSR-GRID-006,0.9762026335646732,high,31.324501841051497,30.081886257513254,FAC-005,مستشفى الميرغنى,hospital,31.3317412,30.0815072,1010.9589293289606,1010.9589293289606,1102.3655172236643,1102.3655172236643,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-287,0.9652627396062354,high,31.342468146733882,30.031347483585385,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,none,False,No route found to any candidate hospitals/clinics.
NSR-GRID-005,0.9642079228969402,high,31.322177895004724,30.083873712934924,FAC-005,مستشفى الميرغنى,hospital,31.3317412,30.0815072,1265.2810983336988,1265.2810983336988,1430.4398583560337,1430.4398583560337,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-267,0.962557209097465,high,31.330904260440054,30.03633264335385,FAC-007,عيادة د. احمد العساف,clinic,31.3392842,30.0464585,2520.4481022586065,2520.4481022586065,1193.404142746832,1193.404142746832,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-221,0.9542468337985616,high,31.360434452416282,30.04690062291493,FAC-016,مركز طبي الحى الثامن,hospital,31.3576391,30.0553351,1344.7591858391768,1344.7591858391768,438.19816209323193,438.19816209323193,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-120,0.9499466572703786,high,31.38289233451927,30.066338613244326,FAC-014,مركز طبي الحى الثامن,hospital,31.35774,30.0561602,2943.6813823713564,2943.6813823713564,1090.8335387140519,1090.8335387140519,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-007,0.946694066778868,high,31.32899341747209,30.081886257513254,FAC-005,مستشفى الميرغنى,hospital,31.3317412,30.0815072,311.15778728063685,311.15778728063685,374.5041481891073,374.5041481891073,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-003,0.9426363462876892,high,31.324232584769174,30.084146301322647,FAC-005,مستشفى الميرغنى,hospital,31.3317412,30.0815072,1077.3711740032393,1077.3711740032393,1134.4564607304435,1134.4564607304435,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-288,0.9338294613673732,high,31.346959723154477,30.031347483585385,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,5419.733136409173,5419.733136409173,1670.8398612682618,1670.8398612682618,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-144,0.9308993708102078,high,31.382892334519262,30.062451320471524,FAC-044,مستشفي الماسة,hospital,31.37919952782694,30.0532517,2083.643192829468,2083.643192829468,1176.6024886903242,1176.6024886903242,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-027,0.9285769266145216,high,31.333484993892693,30.07799957549315,FAC-025,مركز الدرة التخصصي للعيون,hospital,31.332632,30.0807161,283.65799241554384,283.65799241554384,328.0990192964878,328.0990192964878,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-119,0.9260189056484306,high,31.378400758098667,30.066338613244326,FAC-014,مركز طبي الحى الثامن,hospital,31.35774,30.0561602,3193.9923631108186,3193.9923631108186,1355.0205626161949,1355.0205626161949,0.0,0.0,True,weak_but_valid,True,
